Qty,Designator,Footprint,Comment,LCSC Part # (optional),Description (optional)
2,"J2, J3",MD80SGK,Do not mount,Do not mount,"Circular DIN Connectors mini-DIN, 8P jack, rt, through hole, full shield"
2,"J4, J5",1X07_NO_SILK,Do not mount,Do not mount,Multi connection point. Often used as Generic Header-pin footprint for 0.1 inch spaced/style header connections
6,"C1, C2, C6, C7, C9, C10",C0402,100nF 16V,C1525,Samsung CL05B104KO5NNNC 100nF 16V 0402
2,"C3, C5",C0805,10uF 25V,C15850,Samsung CL21A106KAYNNNE  10uF 25V 0805
1,LED1,LEDC1608X50N,Yellow,C72038,Everlight Elec 19-213/Y2C-CQ2R2L/3T(CY)  0603
1,LED2,LEDC1608X50N,Green,C72043,Everlight Elec 19-217/GHC-YR1S2/3T  0603
1,LED3,LEDC1608X50N,Red,C2286,Hubei KENTO Elec  KT-0603R  0603
1,LED4,LEDC1608X50N,Blue,C72041,Everlight 19-217/BHC-ZL1M2RY/3T  0603
1,R1,R0402,4.7K,C25900,Uniroyal Elec  0402WGF4701TCE  0402
3,"R2, R3, R15",R0402,3.3K,C25890,Uniroyal Elec  0402WGF3301TCE  0402
4,"R16, R18, R19, R20",R0402,330R,C25104,Uniroyal Elec  0402WGF3300TCE  0402
4,"R21, R22, R23, R24",R0402,47K,C25792,Uniroyal Elec  0402WGF4702TCE  0402
3,"IC1, IC2, IC3",VSSOP-8_2.0x2.3x0.5P,SN74LVC2T45DCUR,C15741,"Texas Instruments SN74LVC2T45DCUR, Voltage Level Translator, Bus Transceiver, 3-State, 1.65  5.5 V, 8-Pin UM"
1,IC5,SOIC-16_3.9x9.9x1.27P,SN74HC157D,C6823,Quadruple 2-Line To 1-Line Data Selectors/Multiplexers
