Designator,Mid X,Mid Y,Layer,Rotation
C1,12.7,29.34,Top,180
C2,9.65,29.34,Top,0
C3,28.83,22.23,Top,90
C5,28.96,38.23,Top,180
C6,29.21,29.59,Top,180
C7,25.91,29.59,Top,0
C9,13.08,23.88,Top,180
C10,9.91,23.88,Top,0
IC1,11.3,26.42,Top,0
IC2,27.56,32,Top,0
IC3,11.3,31.88,Top,0
IC5,19.43,28.83,Top,90
LED1,9.91,1.78,Top,90
LED2,27.81,1.78,Top,90
LED3,26.29,1.78,Top,90
LED4,8.38,1.78,Top,90
R1,19.38,18.8,Top,0
R2,4.95,27.18,Top,270
R3,6.1,27.18,Top,270
R15,16.1,18.8,Top,0
R16,16.38,38.61,Top,180
R18,13.21,38.61,Top,180
R19,20.19,38.61,Top,0
R20,23.24,38.61,Top,0
R21,4.95,21.46,Top,270
R22,6.1,21.46,Top,270
R23,7.24,21.46,Top,270
R24,8.38,21.46,Top,270
